cutoff_ratio,maxDepth,avg_time_ms
0.485,2,43.4
0.485,3,42.9
0.485,4,41.9
0.485,5,42.8
0.485,6,43.2
0.49,1,67.3
0.49,2,43.5
0.49,3,41.5
0.49,4,42.7
0.49,5,42.3
0.49,6,42.3
0.495,1,66.6
0.495,2,43.4
0.495,3,42.0
0.495,4,41.8
0.495,5,42.0
0.495,6,43.6
0.5,1,66.7
0.5,2,66.0
0.5,3,67.2
0.5,4,67.6
0.5,5,66.8
0.5,6,66.1
